id,category,fullPhrase,fragments
phrase_026,Imaginación,La luna escondió una escalera detrás de la última estrella.,La luna|escondió una escalera|detrás de|la última estrella|.
phrase_027,Imaginación,Mi sombra salió de paseo mientras yo seguía durmiendo.,Mi sombra|salió de paseo|mientras yo|seguía durmiendo|.
phrase_028,Imaginación,El reloj retrocedió un minuto para corregir un viejo error.,El reloj|retrocedió un minuto|para corregir|un viejo error|.
phrase_029,Imaginación,"En esa ciudad, los sueños pagaban el boleto del tren.","En esa ciudad|,|los sueños|pagaban|el boleto del tren|."
phrase_030,Imaginación,Un dragón diminuto vivía dentro de la tetera azul.,Un dragón diminuto|vivía|dentro de|la tetera azul|.
phrase_031,Misterio,"La puerta estaba cerrada, pero alguien había entrado.","La puerta|estaba cerrada|,|pero|alguien había entrado|."
phrase_032,Misterio,"Cada medianoche, el retrato cambiaba de expresión.","Cada medianoche|,|el retrato|cambiaba|de expresión|."
phrase_033,Misterio,Encontré una nota con mi nombre en una casa abandonada.,Encontré una nota|con mi nombre|en una casa|abandonada|.
phrase_034,Misterio,El ascensor se detuvo en un piso que no existía.,El ascensor|se detuvo|en un piso|que no existía|.
phrase_035,Misterio,"Nadie escuchó el golpe, excepto el perro del vecino.","Nadie escuchó|el golpe|,|excepto|el perro del vecino|."
phrase_036,Viajes,El mejor camino no siempre aparece en el mapa.,El mejor camino|no siempre|aparece|en el mapa|.
phrase_037,Viajes,La estación olía a café y a despedidas.,La estación|olía a café|y|a despedidas|.
phrase_038,Viajes,Guardé una piedra de cada lugar que me hizo sentir en casa.,Guardé una piedra|de cada lugar|que me hizo|sentir en casa|.
phrase_039,Viajes,Perderse también puede ser una forma de descubrir.,Perderse|también puede ser|una forma|de descubrir|.
phrase_040,Viajes,El tren partió antes de que terminara mi última pregunta.,El tren partió|antes de que|terminara|mi última pregunta|.
phrase_041,Animales,El perro esperó junto a la puerta como si conociera la hora.,El perro|esperó junto a la puerta|como si|conociera la hora|.
phrase_042,Animales,Las hormigas trabajaban sin discutir el tamaño del problema.,Las hormigas|trabajaban|sin discutir|el tamaño del problema|.
phrase_043,Animales,Un zorro cruzó el sendero y desapareció entre los árboles.,Un zorro|cruzó el sendero|y|desapareció|entre los árboles|.
phrase_044,Animales,El loro repitió el secreto frente a toda la familia.,El loro|repitió el secreto|frente a|toda la familia|.
phrase_045,Animales,"La tortuga llegó última, pero disfrutó todo el camino.","La tortuga|llegó última|,|pero|disfrutó todo el camino|."
phrase_046,Sabiduría,Escuchar bien puede responder preguntas que nadie hizo.,Escuchar bien|puede responder|preguntas|que nadie hizo|.
phrase_047,Sabiduría,Cambiar de opinión también puede ser una forma de aprender.,Cambiar de opinión|también|puede ser|una forma de aprender|.
phrase_048,Sabiduría,"El tiempo no borra todo, pero cambia la mirada.","El tiempo|no borra todo|,|pero|cambia la mirada|."
phrase_049,Sabiduría,"A veces, la respuesta aparece cuando dejamos de buscarla.","A veces|,|la respuesta|aparece|cuando dejamos de buscarla|."
phrase_050,Sabiduría,Compartir una idea puede hacerla más grande sin quitarte nada.,Compartir una idea|puede hacerla|más grande|sin quitarte nada|.
